lemma_id,lemma,sense_num,type,ipa,pos,gender,entry,entry_str,gloss
16194,loðinkinni,\N,main,[lɔðinkinːi],n.,m.,"<div class=""oldnorse bodytext""><i>shaggy cheek</i> (nicknames).</div>",shaggy cheek (nicknames).,shaggy cheek
16195,loðinn,\N,main,[lɔðinː],adj.,\N,"<div class=""oldnorse bodytext""><i>hairy, shaggy, woolly</i>; ær loðnar ok lembdar, <i>ewes in fleece and with lamb</i>; l. sem selr, <i>shaggy as a seal</i>;</div>","hairy, shaggy, woolly; ær loðnar ok lembdar, ewes in fleece and with lamb; l. sem selr, shaggy as a seal;","hairy, shaggy, woolly"
16195,loðinn,X.2,sense,\N,\N,\N,"<div class=""oldnorse bodytext""><i>covered with thick grass</i> (túnit var úslegit ok gekk hestrinn þangat sem loðnast var).</div>",covered with thick grass (túnit var úslegit ok gekk hestrinn þangat sem loðnast var).,\N
16196,loðkápa,\N,main,[lɔðkaːpa],n.,f.,"<div class=""oldnorse bodytext""><i>fur cloak</i>, = <span class=""ref"">loði</span>.</div>","fur cloak, = loði.",fur cloak
16197,loðólpa,\N,main,[lɔðoːlpa],n.,f.,"<div class=""oldnorse bodytext""><i>a large fur doublet</i>.</div>",a large fur doublet.,a large fur doublet
16198,lof,\N,main,[lɔv],n.,n.,"<div class=""oldnorse bodytext""><i>praise, good report</i> (opt kaupir sér í litlu lof);</div>","praise, good report (opt kaupir sér í litlu lof);","praise, good report"
16198,lof,X.2,sense,\N,\N,\N,"<div class=""oldnorse bodytext""><i>leave, permission</i> (ef konungr vill þeim lof til gefa);</div>","leave, permission (ef konungr vill þeim lof til gefa);",\N
16198,lof,X.3,sense,\N,\N,\N,"<div class=""oldnorse bodytext"">in <span class=""p"">pl.</span><i>license</i>; þeir skulu ráða lögum ok lofum, <i>the administration rests with them</i>.</div>","in pl. license; þeir skulu ráða lögum ok lofum, the administration rests with them.",\N
16199,lofa,\N,main,[lɔva],v.,\N,"<div class=""oldnorse bodytext"">(að), </div>","(að),",to praise
16199,lofa,X.1,sense,\N,\N,\N,"<div class=""oldnorse bodytext""><i>to praise</i> (lofa konung þenna, en lasta eigi aðra konunga);</div>","to praise (lofa konung þenna, en lasta eigi aðra konunga);",\N
16199,lofa,X.2,sense,\N,\N,\N,"<div class=""oldnorse bodytext""><i>to allow, permit</i> (l. <span class=""p"">e-m</span><span class=""p"">e-t</span>);</div>","to allow, permit (l. e-m e-t);",\N
16199,lofa,X.3,sense,\N,\N,\N,"<div class=""oldnorse bodytext""><i>to promise</i> (hann lofaði at koma aptr).</div>",to promise (hann lofaði at koma aptr).,\N
16200,lofanligr,\N,main,[lɔvanliɣr],adj.,\N,"<div class=""oldnorse bodytext""><i>praiseworthy</i>.</div>",praiseworthy.,praiseworthy
16201,lofdrápa,\N,main,[lɔvdraːpa],n.,f.,"<div class=""oldnorse bodytext""><i>laudatory poem</i>.</div>",laudatory poem.,laudatory poem
16202,lofðungr,\N,main,[lɔvðunɣr],n.,m.,"<div class=""oldnorse bodytext""><span class=""p"">poet.</span><i>prince, king</i> (þar átti ~ land á milli).</div>","poet. prince, king (þar átti ~ land á milli).","prince, king"
16203,lofgjarn,\N,main,[lɔvɣjarn],adj.,\N,"<div class=""oldnorse bodytext""><i>eager for praise or renown</i>.</div>",eager for praise or renown.,eager for praise or renown
16204,lofgjarnligr,\N,main,[lɔvɣjarnliɣr],adj.,\N,"<div class=""oldnorse bodytext""><i>laudatory</i>.</div>",laudatory.,laudatory
16205,lofgørð,\N,main,[lɔvɣørð],n.,f.,"<div class=""oldnorse bodytext""><i>praise</i>.</div>",praise.,praise
16206,lofkvæði,\N,main,[lɔfkvɛːði],n.,n.,"<div class=""oldnorse bodytext""><i>laudatory poem, encomium</i>.</div>","laudatory poem, encomium.","laudatory poem, encomium"
16207,lofligr,\N,main,[lɔvliɣr],adj.,\N,"<div class=""oldnorse bodytext""><i>laudatory, praising</i> (loflig orð);</div>","laudatory, praising (loflig orð);","laudatory, praising"
16207,lofligr,X.2,sense,\N,\N,\N,"<div class=""oldnorse bodytext""><i>praiseworthy, glorious</i>.</div>","praiseworthy, glorious.",\N
