id,match_str,lex_ref_link_id,lex_ref_gloss,lex_master_id,lex_master_gloss,lemma
6949,scaturriō,72699,NULL,NULL,NULL,
6974,templa,79720,NULL,NULL,NULL,templum
6980,torrus,80566,NULL,NULL,NULL,torrus
6989,Venus,84780,NULL,NULL,NULL,Venus
6994,fūgī,292,NULL,NULL,NULL,fūgī
6996,fuās,507,NULL,NULL,NULL,fuās
6997,dīxī,649,NULL,NULL,NULL,dīxī
6999,reddere,1048,NULL,NULL,NULL,reddo
7000,reddidī,1079,NULL,NULL,NULL,reddo
7002,genunt,1464,NULL,NULL,NULL,gigo
7007,dēmpsī,2421,NULL,NULL,NULL,dēmpsī
7009,alere,2769,NULL,NULL,NULL,aliuo
7011,lēxī,2952,NULL,NULL,NULL,
7017,coluī,4339,NULL,NULL,NULL,coluī
7021,micuī,5029,NULL,NULL,NULL,micus
7022,comminīscī,5137,NULL,NULL,NULL,comminīer
7024,ēmūnxī,5300,NULL,NULL,NULL,
7025,pinxī,5587,NULL,NULL,NULL,pinxus
7027,pungere,5825,NULL,NULL,NULL,pungo
7028,pupugī,5827,NULL,NULL,NULL,pupugo
7030,scandī,6917,NULL,NULL,NULL,scandī
7033,uellī,8712,NULL,NULL,NULL,ueller
7034,ursī,8968,NULL,NULL,NULL,urso
7036,reddere,9991,NULL,NULL,NULL,reddo
7038,biduum,10267,NULL,NULL,NULL,biduus
7055,nāuium,16090,NULL,NULL,NULL,nāuitus
7070,suodālēs,18378,NULL,NULL,NULL,suodālēs
7074,rēmigāre,19459,NULL,NULL,NULL,rēmigor
7075,aestumō,19996,NULL,NULL,NULL,
7076,amma,20994,NULL,NULL,NULL,amma
7077,ānsae,21494,NULL,NULL,NULL,ānsa
7078,antārium,21555,NULL,NULL,NULL,antārius
7080,auxilis,23255,NULL,NULL,NULL,auxilis
7088,fulgus,25383,NULL,NULL,NULL,fulgus
7092,fuam,26692,NULL,NULL,NULL,fuam
7093,bō,26695,NULL,NULL,NULL,bō
7094,futāuit,26696,NULL,NULL,NULL,futāo
7102,biduum,28627,NULL,NULL,NULL,biduus
7108,domuī,29420,NULL,NULL,NULL,domus
7112,condidī,31391,NULL,NULL,NULL,condus
7116,emem,33888,NULL,NULL,NULL,emeo
7126,estis,37076,NULL,NULL,NULL,sum
7127,esa,37246,NULL,NULL,NULL,esa
7151,iuuāre,46095,NULL,NULL,NULL,iuuāre
7156,iouestōd,46312,NULL,NULL,NULL,iouester
7175,clocca,51159,NULL,NULL,NULL,clocca
7184,quae,53509,NULL,NULL,NULL,qui
7199,relicuos,55098,NULL,NULL,NULL,relicuus
7235,pedāre,62523,NULL,NULL,NULL,pedārimis
7237,plēmināre,63113,NULL,NULL,NULL,plēmināes
7239,plēmināre,63138,NULL,NULL,NULL,plēmināes
7241,plouruma,63177,NULL,NULL,NULL,plourumus
7242,pollenta,63308,NULL,NULL,NULL,pollentus
7247,prī,63920,NULL,NULL,NULL,po
7285,hapia,71478,NULL,NULL,NULL,hapio
7292,obstināre,76012,NULL,NULL,NULL,obstināre
7313,aestumō,79621,NULL,NULL,NULL,
7316,tōnsillae,79962,NULL,NULL,NULL,tōnsilla
7325,uēnsīca,82134,NULL,NULL,NULL,uēnsīca
7343,fulsī,340,NULL,NULL,NULL,fulsīa
7345,fremere,454,NULL,NULL,NULL,fremo
7347,trāxī,1342,NULL,NULL,NULL,trāo
7348,suffire,1386,NULL,NULL,NULL,suffirio
7349,fūdī,1666,NULL,NULL,NULL,fūdī
7350,prehendī,1837,NULL,NULL,NULL,prehendī
7351,ussī,2551,NULL,NULL,NULL,ussī
7353,auēre,2921,NULL,NULL,NULL,auēro
7354,auxī,2926,NULL,NULL,NULL,aux
7360,lūxī,4868,NULL,NULL,NULL,lūxī
7363,pauīre,5853,NULL,NULL,NULL,pauīrium
7368,serpsī,6657,NULL,NULL,NULL,serlo
7369,scicidī,6841,NULL,NULL,NULL,scicio
7370,scidi,6842,NULL,NULL,NULL,scido
7372,scrīpsī,7042,NULL,NULL,NULL,scrīpsī
7373,spuī,7329,NULL,NULL,NULL,spuī
7375,attigās,7796,NULL,NULL,NULL,attingo
7377,torpēre,8084,NULL,NULL,NULL,torpēa
7380,perendinō,10133,NULL,NULL,NULL,perendo
7381,Iouis,10181,NULL,NULL,NULL,ios
7388,iteris,12237,NULL,NULL,NULL,iter
7391,agī,12880,NULL,NULL,NULL,agī
7393,anctus,13313,NULL,NULL,NULL,anctus
