lex_ref_link_id,reflex,gloss_eng,lemma_id,lemma,gloss,entry_str
54244,lēimm,jump,1605,léimm,verbal noun of lingid,verbal noun of lingid
54351,lenaid,"smear, spread",3175,lenaid,"to stick, cling","to stick, cling [with di ‘to’]"
54487,ler,"sea, sea god",256,ler,"sea, ocean","(masculine) sea, ocean"
54495,tōlae,flood,5248,tólae,flood,flood
54804,lēicid,"lets, lets go",3173,léicid,"to leave, abandon, release, let go","to leave, abandon, release, let go"
55169,land,open space,228,land,alternative spelling of lann,alternative spelling of lann
55306,līaig,physician,3185,líaig,"doctor, physician","doctor, physician"
55436,lestar,vessel,4785,lestar,vessel,vessel
55642,līe,stone,115,lie,a stone,a stone
55867,lucht,"load, content, troop, people",705,lucht,contents,contents
56009,lōchet,lightning,4148,lóchet,flash of lightning or light,flash of lightning or light
56119,luib,herb,3564,luib,"herb, plant","herb, plant"
56165,lomm,"bare, naked",1983,lomm,"bare, naked","bare, naked"
56334,muimme,foster mother,1826,muimme,"wet nurse, foster mother","wet nurse, foster mother"
56470,mām,"jugum, servitus",1162,mám,yoke,yoke
56483,macc,son,1489,macc,son,son
56673,mēr,finger,745,mér,finger,finger
56689,mōin,"moss, swamp, peat",2300,móin,peat moss,peat moss
56748,māthir,mother,1143,máthir,mother,mother
57013,molur,praise,3262,molur,first-person singular present indicative conjunct of molaidir,first-person singular present indicative conjunct of molaidir
57212,mid,mead,451,mid,mead,mead
57369,māin,"treasure, precious thing",238,main,alternative spelling of mainn,alternative spelling of mainn
57637,mían,"wish, desire",2428,mían,"desire, inclination; object of desire","desire, inclination; object of desire"
57682,mí-,negative prefix,1561,mí-,"evil, ill, sinister","(derogatory) evil, ill, sinister"
57776,mol,mill rod,730,mol,shaft of a mill,shaft of a mill
58030,mall,slow,394,mall,slow,slow
58292,mlas,taste,1688,mlas,flavour,flavour
58301,mebul,shame,5020,mebul,shame,shame
58452,dermat,forgetting,4159,dermat,verbal noun of do·ruimnethar,verbal noun of do·ruimnethar
58530,ainmne,patience,3593,ainmne,patience,patience
58571,mind,"sign, mark",42,mind,"A symbol indicating honour or rank; a crown, insignia, emblem","A symbol indicating honour or rank; a crown, insignia, emblem"
58692,mī,month,684,mí,month,month
58955,mrath,betrayal,4253,mrath,verbal noun of marnaid,verbal noun of marnaid
59067,mruig,"march, region",4057,mruig,"march, borderland","march, borderland"
59645,muinēl,neck,2434,muinél,neck,(anatomy) neck
59670,muir,sea,743,muir,sea,sea
59754,moirb,ant,2847,moirb,ant,ant
60100,náu,ship,1036,nau,boat,boat
60179,nū̆,or,950,nú,alternative form of nó (“or”),alternative form of nó (“or”)
60182,no-,verbal support particles,1055,no-,"Used to support prototonic verb forms where no deuterotonic forms exist (imperfect, past subjunctive, conditional) and to support infixed object pronouns, including the relative pronoun that has no form except for a mutation on the following consonant","Used to support prototonic verb forms where no deuterotonic forms exist (imperfect, past subjunctive, conditional) and to support infixed object pronouns, including the relative pronoun that has no form except for a mutation on the following consonant"
60288,nessa,propior,1758,nessa,"nearer, closer","nearer, closer"
60296,naidm,"the binding, contract",4140,naidm,verbal noun of naiscid,verbal noun of naiscid
60391,Nīall,PN,4421,Níall,a male given name,a male given name
60438,nigid,washes,4138,nigid,to wash,to wash
60503,ēc,death,1167,éc,death,death
60599,nāmae,enemy,3756,námae,enemy,enemy
60633,nemed,"sanctuary; (then) privilege, privileged person",4752,nemed,sanctuary,sanctuary
60642,nem,sky,218,nem,heaven,heaven
60715,ner,boar,563,ner,boar,(poetic) boar
60821,nathir,"natrix, serpens",3612,nathir,snake,snake
60851,aithne,depositum,1350,aithne,verbal noun of ad·noí,verbal noun of ad·noí
61002,nocht,naked,923,nocht,"naked, bare, uncovered","naked, bare, uncovered"
61175,āru,kidney,770,áru,kidney,kidney
61273,ochtmad,the eighth,3160,ochtmad,eighth,eighth
61356,enech,"face, countenance; towards (prep.)",5335,enech,face,face
61424,om,raw,60,om,raw,raw
61754,odb,"knot, excrescence",2009,odb,"knot (in a tree, branch, etc.)","knot (in a tree, branch, etc.)"
62528,īasc,fish; fish (collect.),1473,íasc,fish,fish
62768,lān,full,486,lán,full,full
62806,il,much,319,il,"much, many (usually as the first member of a compound, usually governs a plural noun)","much, many (usually as the first member of a compound, usually governs a plural noun)"
63135,lāthar,"plan, place, position",3349,láthar,"arrangement, disposition, dispensation","arrangement, disposition, dispensation"
63183,lām,hand,1446,lám,hand,hand
63196,lār,"solum, pavimentum",2053,lár,"surface, ground, floor","surface, ground, floor"
63305,cōic,five,1493,cóic,five,five
